Unnamed: 0,food_code,food_name,food_group_nin,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,allergies,region,Serving_Size_g,food_type,protein_calorie_ratio,nutrient_score,health_score,diversity_score,energy_category
17,18,Aloo Paratha,Vegetarian,313.9999999,44.85714284,5.382857141,8.971428568,2.69142857,3.588571427,0,Gluten,North India,100,breakfast,0.01714285714,0.8971428571,27.5,2,Medium
18,19,Keema Matar,Vegetarian,320,9.142857143,22.85714286,18.28571429,3.657142857,1.828571429,77.71428571,,Pan-India,100,dinner,0.07142857143,0.9142857143,55.5,2,Medium
19,20,Palak Chaat,Vegetarian,183,25.41666667,5.083333333,7.116666667,2.033333333,3.05,0,,Pan-India,100,snacks,0.02777777778,1.016666667,23,5,Low
20,21,Malai Kofta,Vegetarian,407,15.2625,8.14,25.94625,5.0875,3.0525,50.875,Milk,Pan-India,100,dinner,0.02,0.80375,5.5,4,Medium
21,22,Hyderabadi Biryani,Vegetarian,514,67.04347826,31.28695652,20.11304348,6.704347826,3.352173913,111.7391304,,South India,100,lunch,0.06086956522,1.117391304,59,2,High
22,23,Saag Aloo,Vegetarian,174,27.1875,5.4375,6.525,2.175,4.35,0,,Pan-India,100,dinner,0.03125,1.0875,25,3,Low
23,24,Chicken Shawarma,Non-Vegetarian,342,14.65714286,27.84857142,17.58857143,4.885714285,2.931428571,73.28571428,,Pan-India,100,lunch,0.08142857143,0.96,75,1,Medium
24,25,Methi Paratha,Vegetarian,236,35.91304348,6.156521739,8.208695652,3.07826087,4.104347826,0,Gluten,Pan-India,100,breakfast,0.02608695652,1.026086957,27.5,3,Medium
25,26,Kadhai Paneer,Vegetarian,289.9999999,19.33333333,11.6,17.39999999,3.866666665,1.933333333,28.99999999,Milk,Pan-India,100,lunch,0.04,0.9666666667,31,1,Medium
26,27,Masoor Dal,Vegetarian,195,32.5,13,3.25,0,5.416666667,0,,Pan-India,100,lunch,0.06666666667,1.083333333,58,3,Low
27,28,Chicken Pakora,Non-Vegetarian,294.9999999,19.66666666,19.66666666,14.74999999,2.949999999,1.966666666,68.8333333,,Pan-India,100,lunch,0.06666666667,0.9833333333,44.5,1,Medium
28,29,Chana Pulao,Vegetarian,337.9999999,48.28571427,11.58857142,9.657142853,3.862857141,3.862857141,0,,Pan-India,100,dinner,0.03428571429,0.9657142857,50,4,Medium
29,30,Prawn Curry,Non-Vegetarian,393,12.41052632,29.475,25.85526316,5.171052632,2.068421053,87.90789474,,Pan-India,100,lunch,0.075,1.018421053,68,1,Medium
30,31,Paneer Butter Masala,Vegetarian,390,21.08108108,10.54054054,26.87837838,5.27027027,3.162162162,63.24324324,Milk,Pan-India,100,lunch,0.02702702703,0.9445945946,8.5,2,Medium
31,32,Dhokla,Vegetarian,180,36,7.2,4.8,1.2,6,0,Gluten,West India,100,dinner,0.04,1.2,32.5,4,Low
32,33,Palak Chana,Vegetarian,260,36.4,12.48,8.32,3.12,6.24,0,,Pan-India,100,dinner,0.048,1.04,55.5,1,Medium
33,34,Vegetable Pulao,Vegetarian,304,60.8,9.727999999,9.727999999,3.648,3.648,0,,Pan-India,100,dinner,0.032,1.216,33.5,4,Medium
34,35,Beef Curry,Non-Vegetarian,332,6.640000001,23.655,16.6,4.15,1.66,74.70000001,,Pan-India,100,lunch,0.07125,0.815,65.5,1,Medium
35,36,Kachori,Vegetarian,232,36.90909091,5.272727273,8.436363636,4.218181818,3.163636364,0,Gluten,Pan-India,100,dinner,0.02272727273,1.054545455,20,4,Medium
36,37,Khichdi,Vegetarian,234,40.95,11.7,7.02,2.34,5.85,0,,Pan-India,100,dinner,0.05,1.17,47,9,Low
37,38,Butter Naan,Vegetarian,300,50,7,8,2,1,0,Gluten,Pan-India,100,dinner,0.02333333333,1,27,2,Medium
38,39,Dal Makhani,Vegetarian,329.9999999,42.42857141,14.14285714,9.428571425,2.828571428,6.599999998,0,Milk,Pan-India,100,lunch,0.04285714286,0.9428571429,69.5,3,Medium
39,40,Mutton Biryani,Non-Vegetarian,482.0000002,53.02000002,24.10000001,17.35200001,5.784000002,2.892000001,91.58000003,,Pan-India,100,lunch,0.05,0.964,49.5,2,High
40,41,Chutney Sandwich,Vegetarian,165,27.5,5.5,5.5,1.1,3.3,0,Gluten,Pan-India,100,dinner,0.03333333333,1.1,24.5,1,Low
41,42,Sev Puri,Vegetarian,208,34.66666667,4.622222222,9.244444444,2.311111111,4.622222222,0,Gluten,Pan-India,100,dinner,0.02222222222,1.155555556,21,1,Low
42,43,Shahi Paneer,Vegetarian,434.9999998,17.39999999,11.6,24.64999999,3.866666665,2.899999999,53.16666665,Milk,Pan-India,100,lunch,0.02666666667,0.7766666667,20.5,4,High
43,44,Goat Curry,Vegetarian,385,11.55,26.95,24.0625,5.775,1.925,81.8125,,Pan-India,100,lunch,0.07,0.9625,64.5,1,Medium
44,45,Dahi Puri,Vegetarian,194.9999999,27.29999999,4.874999998,6.824999998,1.949999999,3.899999999,0,Milk,Pan-India,100,dinner,0.025,0.975,25,1,Low
45,46,Pesarattu,Vegetarian,272,43.52,10.88,8.704,2.176,3.264,0,,South India,100,dinner,0.04,1.088,43,2,Medium
46,47,Lassi,Vegetarian,174,29,5.8,6.96,3.48,0,17.4,Milk,Pan-India,100,dinner,0.03333333333,1.16,8,3,Low
47,48,Bhindi Masala,Vegetarian,159,18.70588235,3.74117647,6.547058823,1.870588235,4.676470588,0,,Pan-India,100,dinner,0.02352941176,0.9352941176,23,3,Low
48,49,Paneer Lababdar,Vegetarian,357,18.36,15.3,25.5,4.08,2.04,40.8,Milk,Pan-India,100,lunch,0.04285714286,1.02,38,3,Medium
49,50,Chicken Vindaloo,Non-Vegetarian,358.0000001,8.325581398,23.72790699,18.31627908,4.162790699,1.66511628,66.60465119,,Pan-India,100,lunch,0.06627906977,0.8186046512,70.5,1,High
50,51,Shahi Tukda,Vegetarian,364,41.6,6.24,20.8,8.32,3.12,26,Gluten,Pan-India,100,dinner,0.01714285714,1.04,5.5,2,Medium
51,52,Lauki Kofta,Vegetarian,302,25.16666667,10.06666667,18.12,4.026666667,5.033333334,40.26666667,Milk,Pan-India,100,dinner,0.03333333333,1.006666667,24,1,Medium
52,53,Chana Dal,Vegetarian,241,38.34090909,15.33636364,5.477272728,1.095454546,6.572727273,0,,Pan-India,100,lunch,0.06363636364,1.095454545,66.5,3,Medium
53,54,Masala Puri,Vegetarian,367,52.42857143,8.388571429,15.72857143,5.242857143,4.194285714,0,Gluten,Pan-India,100,dinner,0.02285714286,1.048571429,32.5,1,Medium
54,55,Aloo Methi,Vegetarian,183,25.41666667,5.083333333,7.116666667,3.05,5.083333333,0,,Pan-India,100,dinner,0.02777777778,1.016666667,25.5,3,Low
55,56,Palak Paratha,Vegetarian,245,37.2826087,6.391304348,9.586956522,4.260869565,5.326086957,0,Gluten,Pan-India,100,breakfast,0.02608695652,1.065217391,28,3,Medium
56,57,Methi Malai Murg,Vegetarian,373.9999999,13.77894737,11.81052631,25.09736841,5.905263156,2.952631578,34.44736841,Milk,Pan-India,100,dinner,0.03157894737,0.8776315789,27.5,1,Medium
57,58,Veg Kofta Curry,Vegetarian,410,25.625,10.25,26.1375,7.175,6.15,51.25,Milk,Pan-India,100,lunch,0.025,0.92375,16.5,1,Medium
58,59,Suji Halwa,Vegetarian,252,40.32,5.04,8.064,6.048,7.056,0,Gluten,Pan-India,100,dinner,0.02,1.008,25,1,Medium
59,60,Veg Pulao,Vegetarian,337,61.78333334,10.11,10.11,4.493333334,4.493333334,0,,Pan-India,100,dinner,0.03,1.123333333,38,1,Medium
60,61,Besan Ladoo,Vegetarian,316,47.4,7.373333333,12.64,10.53333333,3.16,21.06666667,Gluten,Pan-India,100,dinner,0.02333333333,1.053333333,9,2,Medium
61,62,Chilla,Vegetarian,147.9999999,19.73333332,7.89333333,3.946666665,2.959999999,2.959999999,0,Gluten,Pan-India,100,dinner,0.05333333333,0.9866666667,33.5,1,Low
62,63,Chana Tikki,Vegetarian,239.9999999,33.59999999,6.719999998,7.679999998,2.879999999,4.799999998,0,Gluten,Pan-India,100,dinner,0.028,0.96,33.5,1,Medium
63,64,Paneer Bhurji,Vegetarian,314,20.18571429,22.42857143,20.18571429,4.485714286,2.242857143,44.85714286,Milk,Pan-India,100,lunch,0.07142857143,1.121428571,58,2,Medium
64,65,Tomato Rice,Vegetarian,362,62.05714286,8.274285715,10.34285714,5.171428572,3.102857143,0,,Pan-India,100,lunch,0.02285714286,1.034285714,30.5,2,Medium
65,66,Dal Fry,Vegetarian,205,29.28571428,9.761904761,4.88095238,0.9761904761,4.88095238,0,,Pan-India,100,lunch,0.04761904762,0.9761904762,48.5,2,Medium
66,67,Pulao,Vegetarian,333,57.234375,8.325,9.365625,4.1625,3.121875,0,,Pan-India,100,dinner,0.025,1.040625,32,3,Medium
67,68,Khoya Mawa,Vegetarian,457,57.125,9.14,28.5625,11.425,4.57,68.55,Milk,Pan-India,100,dinner,0.02,1.1425,-5,2,Medium
68,69,Pakora,Vegetarian,307,35.81666667,8.186666666,15.35,6.14,4.093333333,0,Gluten,Pan-India,100,snacks,0.02666666667,1.023333333,31,1,Medium
69,70,Boondi Raita,Vegetarian,154,17.11111111,4.277777777,5.133333333,1.711111111,2.566666666,0,Milk,Pan-India,100,dinner,0.02777777778,0.8555555556,23,2,Low
70,71,Sabudana Khichdi,Vegetarian,327.0000001,56.05714288,5.605714288,6.540000003,3.737142859,1.868571429,0,Gluten (if cross-contaminated),Pan-India,100,dinner,0.01714285714,0.9342857143,22,2,Medium
71,72,Vegetable Khichdi,Vegetarian,280,44.8,13.44,8.96,3.36,5.6,0,Gluten (if cross-contaminated),Pan-India,100,dinner,0.048,1.12,53.5,1,Medium
72,73,Laal Maas,Vegetarian,410,10.25,25.625,26.1375,8.2,2.05,102.5,Dairy,Pan-India,100,dinner,0.0625,0.92375,42,2,Medium
73,74,Gajar Halwa,Vegetarian,299,37.375,6.407142857,16.01785714,8.542857143,5.339285714,26.69642857,Dairy,Pan-India,100,dinner,0.02142857143,1.067857143,9.5,2,Medium
74,75,Malai Sandwich,Vegetarian,256,30.72,7.168,12.288,4.096,4.096,30.72,Dairy,Pan-India,100,dinner,0.028,1.024,15,1,Medium
75,76,Pineapple Raita,Vegetarian,158,23.17333333,4.213333333,6.32,3.16,5.266666667,0,Dairy,Pan-India,100,dinner,0.02666666667,1.053333333,21.5,2,Low
76,77,Shrikhand,Vegetarian,319,42.53333333,6.38,15.95,12.76,2.126666667,26.58333333,Dairy,Pan-India,100,dinner,0.02,1.063333333,-2.5,6,Medium
77,78,Chole Tikki,Vegetarian,263.9999999,37.15555555,9.777777775,7.82222222,2.933333333,3.91111111,0,Gluten (in tikki),Pan-India,100,dinner,0.03703703704,0.9777777778,43.5,1,Medium
78,79,Masala Khichdi,Vegetarian,308,48.125,8.6625,7.7,3.85,5.775,0,Gluten (if cross-contaminated),Pan-India,100,dinner,0.028125,0.9625,42,5,Medium
79,80,Patra,Vegetarian,212,31.8,5.3,8.48,2.12,4.24,0,Gluten,Pan-India,100,dinner,0.025,1.06,25,7,Low
80,81,Idli Sambar,Vegetarian,258,46.44,6.192,6.192,2.064,5.16,0,Gluten,South India,100,breakfast,0.024,1.032,31,2,Medium
81,82,Moong Dal Chilla,Vegetarian,174.9999999,24.30555555,11.66666666,2.916666665,0.9722222218,4.861111109,0,Legumes,Pan-India,100,lunch,0.06666666667,0.9722222222,56.5,5,Low
82,83,Carrot Paratha,Vegetarian,236,35.91304348,6.156521739,8.208695652,3.07826087,5.130434783,0,Gluten,Pan-India,100,breakfast,0.02608695652,1.026086957,29.5,1,Medium
83,84,Kaju Katli,Vegetarian,295,35.60344827,5.086206896,15.25862069,10.17241379,4.068965517,20.34482759,Nuts,Pan-India,100,dinner,0.01724137931,1.017241379,3,1,Medium
84,85,Veg Hakka Noodles,Vegetarian,356,55.94285714,7.12,12.20571429,5.085714286,4.068571429,0,Gluten,Pan-India,100,dinner,0.02,1.017142857,28.5,1,Medium
85,86,Shrimp Korma,Vegetarian,328.0000001,10.63783784,22.16216217,17.72972974,6.205405408,2.659459461,62.05405408,Shellfish,Pan-India,100,dinner,0.06756756757,0.8864864865,60.5,1,Medium
86,87,Chana Chaat,Vegetarian,206,28.09090909,7.490909091,5.618181818,2.809090909,4.681818182,0,Legumes,Pan-India,100,snacks,0.03636363636,0.9363636364,37.5,8,Medium
87,88,Barfi,Vegetarian,315,45,5.625,16.875,9,4.5,22.5,Dairy,Pan-India,100,dinner,0.01785714286,1.125,6,1,Medium
88,89,Dal Bhati,Vegetarian,271,36.13333334,10.84,6.323333334,2.71,4.516666667,0,Gluten,Pan-India,100,lunch,0.04,0.9033333333,53.5,1,Medium
89,90,Vegetable Dosa,Vegetarian,339.9999999,48.57142856,7.771428569,11.65714285,2.914285713,3.885714285,0,Gluten,Pan-India,100,breakfast,0.02285714286,0.9714285714,35.5,3,Medium
90,91,Chole Rice,Vegetarian,349,50.51315789,11.02105263,8.265789473,3.67368421,4.592105263,0,Gluten,Pan-India,100,lunch,0.03157894737,0.9184210526,52,1,Medium
91,92,Pineapple Kesari,Vegetarian,290,48.33333333,5.37037037,10.74074074,8.592592592,4.296296296,16.11111111,Dairy,Pan-India,100,dinner,0.01851851852,1.074074074,8.5,1,Medium
92,93,Vegetable Samosa,Vegetarian,221,30.13636364,5.022727273,9.040909091,3.013636364,4.018181818,0,Gluten,Pan-India,100,snacks,0.02272727273,1.004545455,23.5,3,Medium
93,94,Kesar Pista Kulfi,Vegetarian,345.9999999,39.54285713,5.931428569,17.79428571,11.86285714,2.965714285,34.59999999,Dairy,Pan-India,100,dinner,0.01714285714,0.9885714286,-5.5,1,Medium
94,95,Aloo Gajar Methi,Vegetarian,220,30,7,8,4,5,0,Gluten (if paratha is served),Pan-India,100,dinner,0.03181818182,1,32,1,Medium
95,96,Masala Wontons,Vegetarian,300,42.85714286,8.571428572,12.85714286,6.428571429,3.214285714,0,Gluten,Pan-India,100,dinner,0.02857142857,1.071428571,29,1,Medium
96,97,Chana Chole,Vegetarian,318,47.7,12.72,10.6,4.24,6.36,0,Legumes,Pan-India,100,dinner,0.04,1.06,54,1,Medium
97,98,Apple Kheer,Vegetarian,308,49.5,5.5,13.2,8.8,2.2,16.5,Dairy,Pan-India,100,dinner,0.01785714286,1.1,4.5,1,Medium
98,99,Papdi Chaat,Vegetarian,241.0000001,33.74000001,4.820000002,8.676000003,3.856000001,3.856000001,0,Gluten,Pan-India,100,snacks,0.02,0.964,22,1,Medium
99,100,Vegetable Pakora,Vegetarian,296,40.82758621,7.144827586,12.24827586,4.082758621,5.103448276,0,Gluten,Pan-India,100,snacks,0.02413793103,1.020689655,32,4,Medium
100,101,Laal Gobi Sabzi,Vegetarian,188,26.11111111,4.177777778,8.355555556,2.088888889,5.222222222,0,,Pan-India,100,lunch,0.02222222222,1.044444444,23,1,Low
101,102,Turai (Ridge Gourd) Sabzi,Vegetarian,137,22.83333333,3.425,5.708333333,2.283333333,4.566666666,0,,Pan-India,100,lunch,0.025,1.141666667,17,1,Low
102,103,Aloo Methi,Vegetarian,183,22.875,4.574999999,6.404999999,2.745,4.574999999,0,,Pan-India,100,dinner,0.025,0.915,25.5,3,Low
103,104,Amaranth Leaves (Chaulai) Sabzi,Vegetarian,86.99999997,11.6,2.899999999,2.899999999,0.9666666663,4.833333332,0,,Pan-India,100,lunch,0.03333333333,0.9666666667,20.5,1,Low
104,105,Kaddu Ki Sabzi (Pumpkin),Vegetarian,168,22.4,4.48,8.96,3.36,3.36,0,,Pan-India,100,lunch,0.02666666667,1.12,17.5,1,Low
105,106,Cluster Beans (Gawar) Sabzi,Vegetarian,183,26.91176471,5.382352941,7.535294118,2.152941177,6.45882353,0,,Pan-India,100,lunch,0.02941176471,1.076470588,29,1,Low
106,107,Bottle Gourd (lauki) with Moong Dal,Vegetarian,206,28.09090909,7.490909091,5.618181818,0.9363636364,3.745454546,0,Legumes,Pan-India,100,lunch,0.03636363636,0.9363636364,38.5,1,Medium
107,108,Okra (Bhindi) Masala,Vegetarian,123,8.200000001,2.05,4.783333334,1.366666667,2.733333334,0,,Pan-India,100,dinner,0.01666666667,0.6833333333,17,1,Low
108,109,Carrot and Peas Sabzi,Vegetarian,162,22.275,5.0625,6.075,2.025,5.0625,0,,Pan-India,100,lunch,0.03125,1.0125,27,1,Low
109,110,Chili Paneer with Capsicum,Vegetarian,290,23.2,13.92,20.88,4.64,3.48,34.8,Dairy,Pan-India,100,lunch,0.048,1.16,33,1,Medium
110,111,Brinjal (Baingan) Bharta,Vegetarian,166,11.85714286,3.161904762,7.904761905,2.371428571,5.533333333,0,,Pan-India,100,dinner,0.01904761905,0.7904761905,25.5,1,Medium
111,112,Methi Thepla (Fenugreek Flatbread),Vegetarian,233.0000001,29.12500001,7.76666667,8.737500004,1.941666668,5.825000003,0,Gluten,Pan-India,100,breakfast,0.03333333333,0.9708333333,41,1,Medium
112,113,Gobi (Cauliflower) Masala,Vegetarian,175.9999999,18.52631578,5.557894735,7.410526313,2.778947367,4.631578945,0,,Pan-India,100,dinner,0.03157894737,0.9263157895,29.5,1,Low
113,114,Palak (Spinach) and Toor Dal,Vegetarian,185,21.02272728,8.40909091,4.204545455,0.840909091,5.886363637,0,Legumes,Pan-India,100,lunch,0.04545454545,0.8409090909,52.5,1,Medium
114,115,Shorba (Spinach Soup),Vegetarian,106,15.9,3.533333332,1.766666666,0,4.416666665,0,,Pan-India,100,dinner,0.03333333333,0.8833333333,26,1,Low
115,116,Arbi (Colocasia) Masala,Vegetarian,188,22.56,4.700000001,7.520000002,2.820000001,3.760000001,0,,Pan-India,100,dinner,0.025,0.94,23.5,1,Low
116,117,Chow Chow (Chayote) Sabzi,Vegetarian,183,27.45,6.8625,8.00625,2.2875,5.71875,0,,Pan-India,100,lunch,0.0375,1.14375,31,1,Low
117,118,Kundru (Ivy Gourd) Masala,Vegetarian,162,20.96470588,4.764705883,5.717647059,1.905882353,4.764705883,0,,Pan-India,100,dinner,0.02941176471,0.9529411765,27,1,Low
118,119,Palak Puri,Vegetarian,236,33.04,5.663999999,7.551999999,1.888,2.832,0,Gluten,Pan-India,100,dinner,0.024,0.944,27,1,Medium
119,120,Tomato Chutney with Bottle Gourd,Vegetarian,149,23.41428572,4.257142857,5.321428572,2.128571429,3.192857143,0,,Pan-India,100,dinner,0.02857142857,1.064285714,19,1,Low
120,121,Lauki (Bottle Gourd) and Masoor Dal,Vegetarian,230,35,9,6,1,4,0,Legumes,Pan-India,100,lunch,0.03913043478,1,42.5,1,Medium
121,122,Chana and Spinach (Palak) Curry,Vegetarian,300,50,13.33333333,8.888888889,3.333333333,7.777777778,0,Legumes,Pan-India,100,lunch,0.04444444444,1.111111111,57.5,1,Medium
122,123,Beetroot and Carrot Salad,Vegetarian,128,18.28571429,2.742857143,3.657142857,1.828571429,4.571428571,0,,Pan-India,100,dinner,0.02142857143,0.9142857143,19,1,Low
123,124,Radish (Mooli) Paratha,Vegetarian,280,45,7,8,4,4,0,Gluten,Pan-India,100,breakfast,0.025,1,30,1,Medium
124,125,Cabbage and Peas Sabzi,Vegetarian,182,25.27777778,7.077777778,6.066666667,2.022222222,5.055555556,0,Legumes,Pan-India,100,lunch,0.03888888889,1.011111111,35,1,Low
125,126,Green Beans and Potato Sabzi,Vegetarian,207.9999999,27.73333332,5.942857141,7.923809521,2.97142857,4.95238095,0,,Pan-India,100,lunch,0.02857142857,0.9904761905,29.5,1,Medium
126,127,Raw Mango and Spinach Salad,Vegetarian,99.00000001,14.4,1.8,2.7,0.9000000001,4.5,0,,Pan-India,100,dinner,0.01818181818,0.9,16.5,1,Low
127,128,Mustard Greens (Sarson) Saag,Vegetarian,229.0000001,29.86956522,6.969565219,8.960869567,2.986956522,5.973913045,0,,Pan-India,100,dinner,0.03043478261,0.9956521739,35.5,1,Medium
128,129,Spinach (Palak) Paratha,Vegetarian,282,41.77777778,8.355555556,10.44444444,3.133333333,5.222222222,0,Gluten,Pan-India,100,breakfast,0.02962962963,1.044444444,37.5,1,Medium
129,130,Saag Aloo (Spinach and Potato),Vegetarian,252,30.24,6.048,12.096,4.032,5.04,0,,Pan-India,100,dinner,0.024,1.008,28,1,Medium
130,131,Bitter Gourd (Karela) Stir Fry,Vegetarian,154,20.53333333,5.133333333,6.16,2.053333333,7.186666667,0,,Pan-India,100,dinner,0.03333333333,1.026666667,31,1,Low
131,132,Chana Masala with Bottle Gourd,Vegetarian,260.0000001,33.70370372,11.55555556,7.703703707,2.88888889,5.77777778,0,Legumes,Pan-India,100,dinner,0.04444444444,0.962962963,55.5,1,Medium
132,133,Karela (Bitter Gourd) with Onion,Vegetarian,171,20.9,4.75,6.65,2.85,5.7,0,,Pan-India,100,dinner,0.02777777778,0.95,27.5,1,Low
133,134,Chow Chow (Chayote) Salad,Vegetarian,94.99999999,12.95454545,1.727272727,2.590909091,0,4.318181818,0,,Pan-India,100,dinner,0.01818181818,0.8636363636,18,1,Low
134,135,Chana Dal with Bottle Gourd,Vegetarian,215,26.17391304,9.347826086,6.54347826,1.869565217,4.673913043,0,Legumes,Pan-India,100,lunch,0.04347826087,0.9347826087,47,1,Medium
135,136,Green Mango and Cucumber Salad,Vegetarian,77.99999999,10.4,2.6,1.733333333,0,4.333333333,0,,Pan-India,100,dinner,0.03333333333,0.8666666667,22,1,Low
136,137,Aloo-Gobhi (Potato-Cauliflower),Vegetarian,212,30.28571429,5.047619048,8.076190476,3.028571429,6.057142857,0,,Pan-India,100,dinner,0.02380952381,1.00952381,27.5,1,Medium
137,138,Green Peas Pulao,Vegetarian,299,55.37037037,9.966666667,7.751851852,2.214814815,5.537037037,0,Gluten,Pan-India,100,dinner,0.03333333333,1.107407407,43,1,Medium
138,139,Tomato and Onion Salad,Vegetarian,75,8.333333333,1.666666667,2.5,0,2.5,0,,Pan-India,100,dinner,0.02222222222,0.8333333333,14,1,Low
139,140,Masala Lauki,Vegetarian,198.9999999,27.85999999,5.969999998,6.964999997,2.984999999,4.974999998,0,,Pan-India,100,dinner,0.03,0.995,29.5,1,Low
140,141,Toor Dal with Pumpkin,Vegetarian,217,34.52272727,7.890909089,4.931818181,0.9863636362,6.904545453,0,Legumes,Pan-India,100,lunch,0.03636363636,0.9863636364,44.5,1,Medium
141,142,Potato and Spinach Curry,Vegetarian,232,34.29565218,6.052173913,8.069565218,4.034782609,6.052173913,0,,Pan-India,100,lunch,0.02608695652,1.008695652,30,1,Medium
142,143,Chana and Cabbage Sabzi,Vegetarian,252,35.28,10.08,8.064,3.024,7.056,0,Legumes,Pan-India,100,lunch,0.04,1.008,49.5,1,Medium
143,144,Spinach and Onion Roti,Vegetarian,256,36.02962963,7.585185185,7.585185185,2.844444444,5.688888889,0,Gluten,Pan-India,100,lunch,0.02962962963,0.9481481481,39.5,1,Medium
144,145,Karela and Onion Stir Fry,Vegetarian,163,20.375,5.09375,7.13125,3.05625,6.1125,0,,Pan-India,100,dinner,0.03125,1.01875,27.5,1,Low
145,146,Radish (Mooli) and Moong Dal,Vegetarian,210,30,9,6,1,5,0,Legumes,Pan-India,100,lunch,0.04285714286,1,44.5,1,Medium
146,147,Aloo-Besan (Potato and Chickpea Flour) Paratha,Vegetarian,302,45.3,8.053333334,10.06666667,5.033333334,6.04,0,Gluten,Pan-India,100,breakfast,0.02666666667,1.006666667,36.5,1,Medium
147,148,Spinach and Tomato Soup,Vegetarian,94,12.81818182,3.418181818,1.709090909,0,4.272727273,0,,Pan-India,100,dinner,0.03636363636,0.8545454545,26,1,Low
148,149,Methi and Aloo (Fenugreek and Potato) Curry,Vegetarian,220,30,7,8,3,5,0,,Pan-India,100,lunch,0.03181818182,1,33.5,1,Medium
149,150,Mixed Vegetable Pulao,Vegetarian,308,57.03703704,10.26666667,9.125925926,3.422222222,5.703703704,0,,Pan-India,100,dinner,0.03333333333,1.140740741,41.5,1,Medium
150,151,Paneer Tikka,Vegetarian,342,16.03125,30.459375,19.2375,4.275,4.275,53.4375,Dairy,Pan-India,100,lunch,0.0890625,1.05,91,5,Medium
151,152,Chole Bhature with Soy Protein,Vegetarian,482,64.26666667,21.42222222,19.28,5.355555556,6.426666667,0,Gluten,Pan-India,100,lunch,0.04444444444,1.071111111,84.5,1,High
152,153,Tofu Stir-Fry with Vegetables,Vegan,320,37.33333333,19.2,12.8,3.2,8.533333333,0,,Pan-India,100,dinner,0.06,1.066666667,83.5,1,Medium
153,154,Vegetable and Tofu Pulao,Vegan,392,61.6,17.92,13.44,4.48,6.72,0,,Pan-India,100,dinner,0.04571428571,1.12,70,1,Medium
